iter	Logloss
0	0.6143170159
1	0.5541368752
2	0.5068849666
3	0.4661146964
4	0.4316166757
5	0.4046609715
6	0.3837976876
7	0.3639652289
8	0.3462544407
9	0.3321174591
10	0.3187421662
11	0.3069765853
12	0.2987358867
13	0.2899398529
14	0.2825874351
15	0.2754536385
16	0.2704639543
17	0.2649930647
18	0.2598404457
19	0.2551912018
20	0.2518841451
21	0.2478655594
22	0.2447599157
23	0.2417061691
24	0.2385722634
25	0.2361371585
26	0.2337530297
27	0.2318871187
28	0.2294663331
29	0.2273468818
30	0.2258383055
31	0.2244299017
32	0.2230281133
33	0.221619877
34	0.2201555985
35	0.2186784661
36	0.2173302915
37	0.2161412417
38	0.2148777898
39	0.2136310858
40	0.2122007425
41	0.2108764334
42	0.2098545473
43	0.2087837995
44	0.2078015637
45	0.2068579315
46	0.2059175442
47	0.2047103649
48	0.2033995169
49	0.2025662525
50	0.2016716494
51	0.2005444616
52	0.1994084185
53	0.1984726578
54	0.1969887844
55	0.1960869378
56	0.1952421175
57	0.1943908074
58	0.1931175163
59	0.192244769
60	0.1916876125
61	0.190977528
62	0.1901216541
63	0.1894517852
64	0.1886621906
65	0.1878530221
66	0.1869018743
67	0.1860928523
68	0.1853598443
69	0.1848508795
70	0.1837603275
71	0.18303965
72	0.1823055952
73	0.1817801758
74	0.1809664226
75	0.1802014891
76	0.1795426109
77	0.1790045678
78	0.1784464693
79	0.1776506361
80	0.1763396207
81	0.1756024885
82	0.1747693497
83	0.1740975862
84	0.1731569895
85	0.1724560639
86	0.1716466546
87	0.1710254065
88	0.1703580916
89	0.1697935975
90	0.1689313281
91	0.1682777568
92	0.1672430377
93	0.1666216431
94	0.1659100617
95	0.1655359165
96	0.1646856427
97	0.1640204108
98	0.1631054487
99	0.162571132
100	0.161970515
101	0.1615445355
102	0.1609073456
103	0.1599247539
104	0.1593473222
105	0.1584589786
106	0.1579826615
107	0.1572621306
108	0.1566751108
109	0.1561602738
110	0.1555995585
111	0.1550535602
112	0.1544861667
113	0.1540551942
114	0.1535868009
115	0.1530868276
116	0.1523401074
117	0.1519007715
118	0.1513108731
119	0.1507858096
120	0.1504100001
121	0.1499083311
122	0.1493644891
123	0.1488818812
124	0.1484564564
125	0.1479347947
126	0.147526997
127	0.1470128195
128	0.1460292125
129	0.1455941891
130	0.1447549165
131	0.1443651121
132	0.1439036796
133	0.1430657677
134	0.1426922192
135	0.1421413536
136	0.1416067857
137	0.1412714849
138	0.1406976225
139	0.1403448203
140	0.1398717795
141	0.1395720363
142	0.1392130897
143	0.1389109913
144	0.1383807045
145	0.1380922451
146	0.1376584779
147	0.1374379621
148	0.1371088265
149	0.1368735203
150	0.136223979
151	0.1358142029
152	0.1355703449
153	0.1351817338
154	0.1348899144
155	0.1344559587
156	0.1337573464
157	0.1333153413
158	0.1329722842
159	0.1325401813
160	0.1319315463
161	0.1314608502
